"ID Produit Sellsy";Catégorie;Unité;"Tarif -20%";"Tarif -35%";"Tarif -40%";"Tarif 10%";"Tarif plein";Référence;"Nom commercial";"Prix référence HT";Description; lien; image
1045;TEXTRLX;m2;4,25;3,45;3,19;4,78;5,31;EXPOROUGE13004;"GAZON SANS PLOTS ROULEAU EXPO ROUGE - 1x30m - Ep.3mm - au m2";5,31;
1046;CCRLX;m2;112,21;91,17;84,16;126,23;140,26;SOFARL185P200S/MES;"SOFA ROULEAU P200 - 1.85x30m - Ep.30mm - longueur sur mesure";140,26;
1047;CCRLX;m2;112,21;91,17;84,16;126,23;140,26;SOFARLP200S/MESURE;"SOFA ROULEAU P200 - Ep.30mm - longueur sur mesure";140,26;
1048;CCRLX;m2;57,46;46,68;43,09;64,64;71,82;IDS10T240NEW;"IDS10 ROULEAU TOILE NEW - 2.40x30m - Ep.10mm";71,82;
1049;CCRLX;m2;43,80;35,59;32,85;49,28;54,75;IDS10200NEW;"IDS10 ROULEAU NEW - Largeur 2m - Ep.10mm - à la coupe";54,75;
104;CCTAPIS;PIECE;5,91;4,80;4,43;6,65;7,39;HEXAGONBB4060;"HEXAGONE CAILLEBOTIS BORD BISEAUTE NOIR-40x60cm - Ep.9mm";7,39;
1050;TEXTTAPIS;m2;4,25;3,45;3,19;4,78;5,31;EXPOROUGE1504;"GAZON SANS PLOTS ROULEAU EXPO ROUGE - 1x5m - Ep.3mm - au m2";5,31;
1051;CCTAPIS;PIECE;83,97;68,22;62,98;94,46;104,96;MPR22BK;"MPR22 CAILLEBOTIS NITRILE NOIR - 100x150cm - Ep.14mm";104,96;
1052;RONDELLES;"LE CARTON";0,00;0,00;0,00;0,00;0,00;ROND_D85_SACOI_30P;"SAC. DE 10 ROND.85 UNIVER. - 690187 / 30P/sac & 20 sachets/carton";0,00;
1053;CCRLX;m2;63,24;51,38;47,43;71,15;79,05;M69MINIRL1MCOUPE;"M69 MINI ROULEAU CAILLEBOTIS NOIR - Larg.1m - Ep.10mm - à la coupe";79,05;
1054;CCDAL;PIECE;49,30;40,06;36,98;55,47;61,63;CLIPHORSE;"CLIP HORSE DALLE CONNECTABLE NOIR - 100x100cm - Ep.17mm";61,63;
1055;CCRLX;m2;57,46;46,68;43,09;64,64;71,82;IDS10T300NEW;"IDS10 ROULEAU TOILE NEW - Largeur 3m x30 m - Ep.10mm";71,82;
1056;TEXTTAPIS;PIECE;37,68;30,62;28,26;42,39;47,10;SANIPLUS8012002;"SANI PLUS GRIS - 80x120cm - Ep.10mm";47,10;
1057;CCDAL;m2;153,27;124,53;114,95;172,43;191,59;CLIP18BFL;"CLIP18 BFL DALLE CONNECTABLE - NOIR - 100x100cm - Ep.17mm";191,59;
1058;CCDAL;PIECE;0,00;0,00;0,00;0,00;0,00;SOLIDSPORT8CLIPGC;"SOLID SPORT DALLE CLIPSABLE GRIS CLAIR HE13 - 98x98cm - Ep.8mm";0,00;
1059;LOGO;m2;83,98;68,24;62,99;94,48;104,98;GREENJETPRINTSTDAB;"TAPIS LOGO GREEN JET PRINT STANDARD AVEC BORDURES";104,98;
105;CCTAPIS;PIECE;23,04;18,72;17,28;25,92;28,80;M10;"M10 CAILLEBOTIS NOIR - 80x120cm - Ep.17mm";28,80;
1060;LOGO;m2;142,94;116,14;107,20;160,80;178,67;GREENJETPRINTSMAB;"TAPIS LOGO GREEN JET PRINT SUR MESURE AVEC BORDURES";178,67;
1061;LOGO;m2;169,86;138,01;127,40;191,10;212,33;GREENJETPRINTSMSSB;"TAPIS GREEN JET PRINT SUR MESURE SANS BORDURES (+3% à la long+larg)";212,33;
1062;CCRLX;m2;57,46;46,68;43,09;64,64;71,82;IDS10T200NEW;"IDS10 ROULEAU TOILE NEW - 2x30m - Ep.10mm";71,82;
1063;CCRLX;m2;48,46;39,37;36,34;54,51;60,57;IDSRAMP180;"IDSRAMP ROULEAU - Insertion Textile - 1.80x30m - Ep.19mm";60,57;
1064;CCRLX;m2;33,38;27,12;25,04;37,56;41,73;IDSSHEET3MM1P140;"IDSSHEET RL FACE LISSE/IMPRESSION TOILE 1 PLI - 1.40x50m -Ep.3mm";41,73;
1065;CCRLX;m2;0,00;0,00;0,00;0,00;0,00;IDSSHEET3MMPROFIX;"IDSSHEET ROULEAU 3MM + PROFILS + FIXATIONS";0,00;
1066;CCRLX;m2;34,74;28,22;26,05;39,08;43,42;IDSSHEET4MM140;"IDSSHEET RL - FACE LISSE/IMPRESSION TOILE 1 PLI - 1.40x35m - Ep.4mm";43,42;
