REF;DESIGN;POIDS;UNITE;CATEGORIE;PRIX;ECOTAXE;NOTE;SCORE;IMAGE;URL
BLA5;C/C BLACK STAR ROULEAU - 1.40x5m - Ep.25mm;28.750000;3;ACCESSOIRE;365.360000;0.300000;A;https://sevetys.fr/_next/image/?url=https%3A%2F%2Fcharming-angel-5ca83bf286.media.strapiapp.com%2FChat_europeen_573af6e71d.webp&w=1920&q=75
NT427BY122;NT427 ROULEAU ANTIFATIGUE NOIR/JAUNE - 1.22x18.30m - Ep.9.4mm;3.320000;2;PLARLX;56.880000;0.460000;NULL;NULL
NT427BY122COUP;NT427 ROULEAU ANTIFATIGUE NOIR/JAUNE -Larg1.22m - Ep.9.4mm - coupe/ml;3.320000;2;PLARLX;0.000000;0.460000;NULL;NULL
NT427BY61;NT427 ROULEAU ANTIFATIGUE NOIR/JAUNE - 0.61x18.30m - Ep.9.4mm;1.640000;2;PLARLX;28.440000;0.190000;0.000000;
NT427BY61COUP;NT427 ROULEAU ANTIFATIGUE NOIR/JAUNE - Larg 0.61m - Ep.9.4mm - coupe;1.640000;2;PLARLX;0.000000;0.190000;NULL;NULL
NT427BY91;NT427 ROULEAU ANTIFATIGUE NOIR/JAUNE - 0.91x18.30m - Ep.9.4mm;2.650000;2;PLARLX;42.670000;0.190000;NULL;NULL
NT427G122;NT427 ROULEAU ANTIFATIGUE GRIS - 1.22x18.30m - Ep.9.4mm;3.530000;2;PLARLX;56.880000;0.460000;NULL;NULL
NT427G61;NT427 ROULEAU ANTIFATIGUE GRIS - 0.61x18.30m - Ep.9.4mm;1.770000;2;PLARLX;28.440000;0.190000;NULL;NULL
NT427G61COUP;NT427 ROULEAU ANTIFATIGUE GRIS - Larg 0.61m - Ep.9.4mm - coupe/ml ;1.770000;2;PLARLX;0.000000;0.190000;NULL;NULL
NT427G91;NT427 ROULEAU ANTIFATIGUE GRIS - 0.91x18.30m - Ep.9.4mm;2.650000;2;PLARLX;42.670000;0.190000;NULL;NULL
NT615BY912290;NT615 ROULEAU ANTIFATIGUE NOIR/JAUNE - 0.91x22.90m - Ep.24mm;7.540000;2;PLARLX;187.050000;0.460000;0.000000;
NT793;NT786 CORDON CLIPSABLE;0.085000;1;PLAACCESS;26.490000;0.057000;NULL;NULL
TRANSL1092L;TAPIS DE BUREAU TRANSLUCIDE LISSE RECTANGULAIRE 1092 120x90 cm;2.200000;1;PLATAPIS;67.400000;0.036000;NULL;NULL
TRANSL1100L;TAPIS DE BUREAU TRANSLUCIDE LISSE RECTANGULAIRE 1100 120x100 cm ;3.000000;1;PLATAPIS;74.480000;0.036000;NULL;NULL
TRANSL1152L;TAPIS DE BUREAU TRANSLUCIDE LISSE RECTANGULAIRE 1152 150x120 cm ;4.240000;1;PLATAPIS;107.580000;0.036000;NULL;NULL
TRANSL2092P;TAPIS DE BUREAU TRANSLUCIDE PICOTS RECTANGULAIRE 2092 120x90 cm ;3.500000;1;PLATAPIS;79.340000;0.036000;NULL;NULL
TRANSL2152P;TAPIS DE BUREAU TRANSLUCIDE PICOTS RECTANGULAIRE 2152 150x120 cm ;5.040000;1;PLATAPIS;122.890000;0.036000;NULL;NULL
C68;C68 JONCTION;0.024000;1;CCACCESS;1.020000;0.000000;NULL;NULL
C22;C22 JONCTION POUR M22;0.015000;1;CCACCESS;1.360000;0.000000;NULL;NULL
C26;C26 JONCTION POUR M25 ET M26;0.016000;1;CCACCESS;2.940000;0.000000;NULL;NULL
COCS45;COCS45 BANDE DE CONNEXION NOIRE;0.220000;1;CCACCESS;3.030000;0.018000;NULL;NULL
M22;M22 CAILLEBOTIS - 150x100cm - Ep.14mm;14.360000;1;CCTAPIS;58.890000;0.018000;NULL;NULL
M2601;M2601 CAILLEBOTIS - 91x152cm - Ep.22mm;18.820000;1;CCTAPIS;109.050000;0.018000;NULL;NULL
M2606;M2606 CAILLEBOTIS - 98x157cm - Ep.22mm;20.000000;1;CCTAPIS;109.050000;0.018000;NULL;NULL
M68;M68 CAILLEBOTIS NOIR - 100x150cm - Ep.23mm;11.420000;1;CCTAPIS;54.560000;0.018000;0.000000;
M69;M69 CAILLEBOTIS NOIR - 100x150cm - Ep.23mm;15.820000;1;CCTAPIS;61.700000;0.018000;NULL;NULL
M85;M85 CAILLEBOTIS NOIR - 50x80cm - Ep.22mm;2.600000;1;CCTAPIS;12.670000;0.018000;NULL;NULL
MPR22;MPR22 CAILLEBOTIS NITRILE ROUGE - 100x150cm - Ep.14mm;15.220000;1;CCTAPIS;104.960000;0.018000;NULL;NULL
MPR24;MPR24 CAILLEBOTIS NITRILE ROUGE - 91x152cm - Ep.14mm;9.620000;1;CCTAPIS;88.780000;0.018000;NULL;NULL
EBENE4575;EBENE GRILLE IMIT. FONTE EN CAOUTCH.-45x75cm-Ep.14 mm;1.960000;1;CCTAPIS;11.650000;0.190000;NULL;NULL
HEXAGONBB4060;HEXAGONE CAILLEBOTIS BORD BISEAUTE NOIR-40x60cm - Ep.9mm;0.960000;1;CCTAPIS;7.390000;0.070000;NULL;NULL
M10;M10 CAILLEBOTIS NOIR - 80x120cm - Ep.17mm;6.040000;1;CCTAPIS;28.800000;0.018000;NULL;NULL
M11;M11 CAILLEBOTIS NOIR - 80x120cm - Ep.23mm;7.500000;1;CCTAPIS;36.280000;0.018000;NULL;NULL
M15;M15 CAILLEBOTIS NOIR - 50x100cm - Ep.22mm;4.060000;1;CCTAPIS;20.440000;0.018000;NULL;NULL
M5;M5 GRILLE CAOUTCHOUC NOIR - 33x58cm - Ep.10mm;0.640000;1;CCTAPIS;4.260000;0.070000;NULL;NULL
M98;M98 CAILLEBOTIS NOIR - 40x60cm - Ep.14 mm;1.020000;1;CCTAPIS;5.920000;0.018000;NULL;NULL
EHA88LG10;EHA 88 ROULEAU - Larg. standard - Long.10m - Ep.12mm - au m²;5.400000;3;PLARLX;120.150000;0.120000;NULL;NULL
EHA88LGSPEC;EHA 88 ROULEAU - Larg standard - Long.<20m - Ep.12mm - au m²;5.400000;3;PLARLX;149.990000;0.120000;NULL;NULL
EHA917;EHA917 ROULEAU R11 GRIS ARGENT Larg.standard - long.10m - Ep.18mm;6.000000;3;PLARLX;137.910000;0.120000;NULL;NULL
EHA917BORNJGC;EHA917 BORDURES POUR LONGUEUR NOIR/JAUNE;0.400000;2;PLAACCESS;27.790000;0.036000;NULL;NULL
EHA917BORNJPC;EHA917 BORDURES POUR LARGEUR NOIR/JAUNE ;0.400000;2;PLAACCESS;24.220000;0.036000;NULL;NULL
EHA93LG10;EHA 93 ROULEAU - Larg. standard - Long.10m - Ep.14mm;6.800000;3;PLARLX;185.230000;0.120000;NULL;NULL
EHA93LG-10;EHA 93 ROULEAU - Larg. standard - Long.<10m - Ep.14mm;6.800000;3;PLARLX;233.350000;0.120000;NULL;NULL
EHA95050LG10;EHA 950 ROULEAU NOIR - Larg. standard - Long.10m - Ep.12.5mm;6.000000;3;PLARLX;117.500000;0.120000;NULL;NULL
EHA95059LG10;EHA 950 ROULEAU MARQUAGE JAUNE -Larg. stand - Long.10m - Ep.12.5mm;6.000000;3;PLARLX;129.470000;0.120000;NULL;NULL
EHA95050LG+10;EHA 950 ROULEAU NOIR - Larg. standard - Long<30m - Ep.12.5mm;6.000000;3;PLARLX;145.450000;0.120000;NULL;NULL
EHA96LG10;EHA 96 ROULEAU - Larg.standard - Long.10m - Ep.12mm - au m²;5.500000;3;PLARLX;130.520000;0.120000;NULL;NULL
EHA96LG-10;EHA 96 ROULEAU - Larg.standard - Long.<10m - Ep.12mm - au m²;5.500000;3;PLARLX;156.380000;0.120000;NULL;NULL
EHA96LARGSPEC;EHA 96 ROULEAU - Largeur spéciale - Ep.12mm - au m²;5.500000;3;PLARLX;183.860000;0.120000;NULL;NULL
EHA96LG+10;EHA 96 ROULEAU - Larg.standard - Long.>10m - Ep.12mm - au m²;5.500000;3;PLARLX;156.380000;0.120000;NULL;NULL
CCO1FL1FIT2;CAOUTCHOUC ROULEAU FACE LISSE + IMPR.TOILE - 1.40x10m - Ep.2mm ;2.920000;3;CCRLX;21.400000;0.190000;NULL;NULL
CCO2FL3;CAOUTCHOUC ROULEAU 2 FACES LISSES NOIR - 1.40x10m - Ep.3mm;4.380000;3;CCRLX;21.380000;0.190000;NULL;NULL
CHECKER140N3;CHECKER ROULEAU NOIR - 1.40x10m - Ep.3 mm;4.100000;3;CCRLX;24.420000;0.300000;NULL;NULL
CHECKER140G3;CHECKER ROULEAU GRIS - 1.40x10m - Ep.3mm;4.230000;3;CCRLX;31.510000;0.300000;NULL;NULL
CHECKER140N6;CHECKER CFL-S1 ROULEAU NOIR - 1.40x10m - Ep.6mm;8.400000;3;CCRLX;55.330000;0.300000;NULL;NULL
DELINEIGE10GN;DELINEIGE CFL-S1 ROULEAU GRIS CLAIR/NOIR - 1.25x12m - Ep.10mm ;12.500000;3;CCRLX;177.890000;0.190000;NULL;NULL
FINES120G;FINES STRIES ROULEAU GRIS - 1.20x10m - Ep.3mm;2.560000;3;CCRLX;22.530000;0.300000;NULL;NULL
CANNELE120N6;LARGES CANNELURES ROULEAU - 1.20x10m - Ep.6mm;6.500000;3;CCRLX;35.350000;0.300000;NULL;NULL
CANNELE100N6;LARGES CANNELURES ROULEAU - 1x10m - Ep.6mm;6.500000;3;CCRLX;35.550000;0.300000;NULL;NULL
PAST120N3;PASTILLE DFL-S1 ROULEAU NOIR - 1.20x10m - Ep.3mm;4.000000;3;CCRLX;26.400000;0.300000;NULL;NULL
M70BG;M70 DALLE DE BORD PATINOIRE GRIS - 30.5x61cm - Ep.10mm;2.500000;1;CCDAL;38.950000;0.018000;NULL;NULL
M70BV;M70 DALLE DE BORD PATINOIRE VERT - 30.5x61cm - Ep.10mm;2.500000;1;CCDAL;38.950000;0.018000;NULL;NULL
M71AB;M71 DALLE ANGLE PATINOIRE BLEU - 30.5x61x61cm - Ep.10 mm;3.500000;1;CCDAL;59.490000;0.018000;NULL;NULL
M71AV;M71 DALLE ANGLE PATINOIRE VERT - 30.5x61x61cm - Ep.10 mm;3.500000;1;CCDAL;59.490000;0.018000;NULL;NULL
M72CB;M72 DALLE CENTRE PATINOIRE BLEU - 61x61cm - Ep.10mm ;5.200000;1;CCDAL;78.760000;0.018000;NULL;NULL
M72CG;M72 DALLE CENTRE PATINOIRE GRIS - 61x61cm - Ep.10mm ;5.200000;1;CCDAL;78.760000;0.018000;NULL;NULL
M74AP;M74 DALLE ANGLE PATINOIRE NOIR - 30.5x61x61cm - Ep.10mm ;3.300000;1;CCDAL;46.000000;0.018000;NULL;NULL
M75CP;M75 DFL-S2 DALLE CENTRE PATINOIRE NOIR - 61x61cm - Ep.10mm;4.660000;1;CCDAL;43.380000;0.018000;0.000000;
CORALN4575REC85016;CORAL NATUREL 85016 RECTANGLE - 45x75cm - Ep.18mm;2.420000;1;COCOTAPIS;19.610000;0.190000;NULL;NULL
CORALN4575DL85031;CORAL NATUREL 85031 1/2 LUNE - 45x75cm - Ep.18mm;2.180000;1;COCOTAPIS;19.610000;0.190000;NULL;NULL
GRATPIEDCOCO3135;GRATTE-PIEDS COCO - 31x35cm - Ep.62mm;0.920000;1;COCOTAPIS;19.470000;0.070000;NULL;NULL
COCORLNP17MMCOUP;COCO ROULEAU NATUREL/LATEX - Ep.17mm - à la coupe;6.660000;3;COCORLX;60.530000;0.360000;0.000000;
COCORLNP23MMCOUP;COCO ROULEAU NATUREL/LATEX - Ep.23mm - à la coupe;8.000000;3;COCORLX;70.190000;0.360000;0.000000;
COCORLN040P17MM;COCO ROULEAU NATUREL/LATEX - 0.40x12m - Ep.17mm - au ml;2.660000;2;COCORLX;16.150000;0.190000;NULL;NULL
COCORLN2P17MM;COCO ROULEAU NATUREL/LATEX - 2x12m - Ep.17mm - au ml;13.320000;2;COCORLX;80.670000;0.460000;NULL;NULL
COCORLN2P23MM;COCO ROULEAU NATUREL/LATEX - 2x12m - Ep.23mm - au ml;15.000000;2;COCORLX;93.550000;0.460000;NULL;NULL
COCORLN1P17MM;COCO ROULEAU NATUREL/LATEX - 1x12m - Ep.17mm - au ml (2024+DSM24);6.660000;2;COCORLX;40.350000;0.460000;NULL;NULL
COCORLN1P23MM;COCO ROULEAU NATUREL/LATEX - 1x12m - Ep.23mm - au ml;7.280000;2;COCORLX;46.790000;0.460000;0.000000;
COCONUNI336015P;COCO NATUREL/LATEX UNI - 33x60cm - Ep.15mm;1.140000;1;COCOTAPIS;7.200000;0.190000;NULL;NULL
COCONUNI406015P;COCO NATUREL/LATEX UNI - 40x60cm - Ep.15mm;1.300000;1;COCOTAPIS;8.870000;0.190000;0.000000;
COCONUNI609015P;COCO NATUREL/LATEX UNI - 60x90cm - Ep.15mm;3.110000;1;COCOTAPIS;19.620000;0.460000;0.000000;
CLIP18;CLIP18 DFL DALLE CONNECTABLE - NOIR - 100x100cm - Ep.17mm;22.000000;1;CCDAL;106.780000;0.018000;NULL;NULL
ASTROTURFRL0911707;ASTROTURF EFL ROULEAU VERT - 0.91x17m - Ep.18-21mm - au ml;2.230000;2;TEXTRLX;39.090000;0.036000;NULL;NULL
ASTROTURFRL0911710;ASTROTURF EFL ROULEAU MARRON - 0.91x17m - Ep.18-21mm - au ml;2.230000;2;TEXTRLX;39.090000;0.036000;NULL;NULL
GAZONGRAT406002;GAZONGRAT GRIS - 40x60cm - Ep.14mm;0.400000;1;TEXTTAPIS;7.860000;0.070000;NULL;NULL
GAZONGRAT406007;GAZONGRAT VERT - 40x60cm - Ep.14mm;0.400000;1;TEXTTAPIS;7.860000;0.070000;NULL;NULL
GAZONGRAT406010;GAZONGRAT MARRON - 40x60cm - Ep.14mm;0.400000;1;TEXTTAPIS;7.860000;0.070000;NULL;NULL
LOGOLAVAGE;LAVAGE TAPIS LOGO SANS BORDURES (3 lavages avant expédition);0.000000;3;LOGO;0.000000;0.000000;NULL;NULL
LOGOLABELIDMAT;LABELS IDMAT sur semelle tapis sur mesure/logo;0.000000;1;LOGO;0.000000;0.000000;NULL;NULL
LOGOMAQUETTE;MAQUETTE TAPIS LOGO FRAIS FIXES;0.000000;1;LOGO;10.000000;0.000000;NULL;NULL
MICROFIBRE12018002;MICROFIBRES GRIS - 120x180cm - Ep.8mm;6.060000;1;TEXTTAPIS;112.070000;0.460000;NULL;NULL
MICROFIBRE406002;MICROFIBRES GRIS - 40x60cm - Ep.8mm;0.700000;1;TEXTTAPIS;12.810000;0.070000;NULL;NULL
MICROFIBRE9012002;MICROFIBRES GRIS - 90x120cm - Ep.8mm;3.060000;1;TEXTTAPIS;56.030000;0.460000;NULL;NULL
MICROFIBRE9012010;MICROFIBRES BRUN - 90x120cm - Ep.8mm;3.060000;1;TEXTTAPIS;56.030000;0.460000;NULL;NULL
MICROFIBRE9015002;MICROFIBRES GRIS - 90x150cm - Ep.8mm;3.860000;1;TEXTTAPIS;71.910000;0.460000;NULL;NULL
MOQUETTE4060PAN;COUPONS MOQUETTE - MODELES PANACHES - 40*60cm;0.560000;1;TEXTTAPIS;2.550000;0.070000;NULL;NULL
BORDPVC25MM;BORDURE PVC LARGEUR 20 mm (LONGUEUR RL 25 M - POUR MOISSAC);0.070000;2;PLAACCESS;19.280000;0.000000;NULL;NULL
BORDPVC32MM;BORDURE PVC LARGEUR 33 mm (LONGUEUR RL 32 M - POUR FLORAC & QUERCY);0.070000;2;PLAACCESS;19.280000;0.000000;NULL;NULL
